buffer_size,n_producer,n_consumer,wait_for_empty,wait_for_full,wait_mutex,total
32,1,8,74149,1.70719e+06,62504,330499
32,1,8,95747,742564,6693,296318
32,1,8,75590,562362,28805,258922
32,1,8,64468,574239,18211,250083
32,1,8,65920,830857,20658,258202
32,1,16,84667,1.14253e+06,22386,275580
32,1,16,55675,2.89016e+06,3105,284461
32,1,16,66018,1.036e+06,36663,252663
32,1,16,97832,3.78533e+06,21538,430428
32,1,16,110484,2.46668e+06,7332,342003
32,1,16,86167,2.07046e+06,14577,297748
32,1,16,66660,1.27048e+06,13814,253220
32,1,16,94680,2.54182e+06,6955,326654
32,1,16,73192,2.13054e+06,13510,310968
32,1,16,113564,1.92494e+06,11791,326789
32,2,1,215068,9699,57460,228286
32,2,1,323808,13498,97045,295765
32,2,1,180287,9845,34546,195295
32,2,1,248324,6131,85093,254724
32,2,1,139170,8681,29454,174467
32,2,1,196164,11061,23285,203132
32,2,1,156048,11215,40809,192818
32,2,1,144515,13287,85639,202831
32,2,1,166237,11645,35892,192786
32,2,1,146237,11899,45243,184703
32,4,1,531274,1859,148197,216853
32,4,1,560127,1628,148927,225022
32,4,1,729900,2581,178919,275869
32,4,1,593705,1062,156314,240068
32,4,1,486852,2995,170478,212201
32,4,1,764652,3926,142043,278785
32,4,1,650001,1322,152747,250813
32,4,1,750132,3551,169984,280807
32,4,1,764313,2054,145764,275826
32,4,1,538447,2763,135362,219393
32,8,1,1.53674e+06,1972,186658,240271
32,8,1,1.71008e+06,2503,197458,264164
32,8,1,1.49068e+06,1742,237006,238823
32,8,1,1.91834e+06,6955,168438,288669
32,8,1,1.30554e+06,875,236715,216610
32,8,1,1.84589e+06,445,165491,277301
32,8,1,1.49171e+06,2860,210926,238203
32,8,1,1.26054e+06,4341,249906,215300
32,8,1,1.44202e+06,2003,241103,232922
32,8,1,1.6735e+06,2603,242669,260373
32,16,1,3.39822e+06,2069,224710,238874
32,16,1,2.97163e+06,1007,238872,212363
32,16,1,3.42685e+06,995,246339,242847
32,16,1,3.1716e+06,1670,328337,230832
32,16,1,3.39945e+06,1865,382282,248378
32,16,1,3.62676e+06,10815,307744,257587
32,16,1,3.63661e+06,2142,220762,254916
32,16,1,3.23304e+06,7057,382620,237957
32,16,1,3.17108e+06,5484,353965,235352
32,16,1,3.28415e+06,9962,473961,245022
2,1,1,41640,119356,2069,206524
